name,source_prompt, target_prompts
bear_grass, A large brown bear walking through a grassy field, A large panda bear walking through a grassy field
bear, A large brown bear walking through a stream of water, A large polar bear walking through a stream of water
beer_glass, A wine glass filled with beer, A wine glass filled with a vibrant red cocktail garnished with an orange wedge
bikes, A bicycle parked on the sidewalk in front of a red brick building, A motorcycle parked on the sidewalk in front of a red brick building
boat_silhouette, A serene scene of a lake with a silhouette of a sailboat floating on the water, A serene scene of a lake with a sailboat floating on the water
brown_owl, A small brown owl standing on a patch of grass, A small glass sculpture of a brown owl standing on a patch of grass
bus, A yellow van parked in front of a house outside a garage, A military jeep parked in front of a house outside a garage
butterflies, A vibrant orange flower with two black and white butterflies perched on it, A vibrant orange flower with two yellow butterflies perched on it
butterly, A beautiful purple flower with a white and black butterfly perched on top of it, A beautiful purple flower with an orange butterfly perched on top of it
cake_red_blueberries, A slice of red velvet cake with white frosting topped with blueberries, A slice of chocolate cake with white frosting topped with blueberries
cake, A three-layer cake with white frosting placed on a wooden table, A three-layer wedding cake with white frosting placed on a wooden table
castle, A majestic castle with a tall pointed roof situated on a hillside, A majestic castle made out of lego bricks with a tall pointed roof situated on a hillside
cat_and_dog, A dog and a cat sitting together on a sidewalk, A bronze sculpture of a dog and a cat sitting together on a sidewalk
cat_and_dog2, A gray cat and a brown dog on a floor, A tiger and a brown dog on a floor
cat_crown, A gray cat sitting on a black cloth wearing a crown, A lioness sitting on a black cloth wearing a top hat
cat_dog_car, A white dog sitting on the grass, A Husky dog sitting on the grass
cat_ginger, An orange and white cat sitting, A silver cat sculpture
cat_stone, A small gray kitten sitting on a stone ledge, A small black kitten sitting on a stone ledge
cat, A small fluffy kitten sitting in a grassy field, A small puppy sitting in a grassy field
clown_fish, A vibrant underwater scene with a clownfish swimming among various coral reefs, A vibrant underwater scene with a small sea turtle swimming among various coral reefs
coconut, The image features a coconut shell filled with water creating a unique and artistic scene, The image features a human head filled with water creating a unique and artistic scene
corgi, A brown and white dog sitting on a dirt ground near a body of water, A brown and white dog made out of lego bricks sitting on a dirt ground near a body of water
cupcake, A small chocolate cupcake with light brown whipped cream on top, A small red velvet cupcake with whipped cream on top
dalmatian, A Dalmatian dog sitting on a white background, A cheetah sitting on a white background
deer_silhoutte, A silhouette of a deer standing on a grassy bank near a lake, A silhouette of a male deer with beautiful antlers standing on a grassy bank near a lake
dog_snow, A German Shepherd dog standing in a snowy field, A wolf standing in a snowy field
dog, A small black and brown dog sitting on a lush green field, A small black and brown sculpture of a dog sitting on a lush green field
dogs, Two dingo dogs standing close to each other in a wooded area, Two red foxes standing close to each other in a wooded area
dogs2, Two dogs standing on a grassy hillside, Two wolves standing on a grassy hillside
drawing_horse, A black and white sketch of a horse showcasing its grace and beauty, A black and white sketch of a unicorn showcasing its grace and beauty
duck, A brown duck swimming in a lake, A colorful duck swimming in a lake
flowers_draw, A painting of three red flowers each with a long stem, A painting of three sunflowers each with a long stem
flowers, A vase filled with a beautiful bouquet of pink red and white flowers,  A vase filled with a beautiful bouquet of orange yellow and white flowers
free_wifi, A wooden table with a black board on it. The board displays the words "FREE WIFI" in white letters,  A wooden table with a black board on it. The board displays the words "FREE BEER" in white letters
gas_station, A gas station with a white and red sign that reads "CAFE", A gas station with a white and red sign that reads "CVPR"
geese, A flock of geese flying together in the sky, A flock of flamingos flying together in the sky
gray_bird, A small blue and gray bird perched on a wooden fence or post, A small golden sculpture of a bird perched on a wooden fence or post
groceries, A grocery list writing on a piece of brown paper with a black marker which includes BREAD EGGS and MILK, A grocery list writing on a piece of brown paper with a black marker which includes BREAD COFFEE and MILK
horse_silhoeutte, A black silhouette of a horse showcasing its elegant and powerful form, A black silhouette of a unicorn showcasing its elegant and powerful form
horse, A white horse running through a grassy field, A pink toy horse running through a grassy field
iguana, A large orange lizard sitting on a rock near the ocean, A large green lizard sitting on a rock near the ocean
japanese_castle, A large white Japanese castle with a distinctive pagoda-style roof, A large white Japanese castle made out of lego bricks with a distinctive pagoda-style roof
jump_kick, A woman in a white uniform kicking in the air, A shiny silver humanoid robot kicking in the air
jump_yay, A man wearing a white shirt and black shorts jumping in the air with his left arm raised, A shiny silver humanoid robot jumping in the air with its left arm raised
kid_running, A young boy running through a grassy field, A sculpture of a young boy running through a grassy field
lighthouse, The image features a tall white lighthouse standing prominently on a hill, The image features the Eiffel tower standing prominently on a hill
luna, A neon sign for a restaurant called Luna which is located on a street corner, A neon sign for a restaurant called Sol which is located on a street corner
meditation, A woman sitting on the floor in a room and meditating, A wooden statue of a woman sitting on the floor in a room and meditating
meditation2, A man sitting on the ground and appears to be in a relaxed position meditating, A wooden sculpture of man sitting on the ground and appears to be in a relaxed position meditating
milk, A glass of milk placed on a wooden table, A glass of chocolate milk placed on a wooden table
mountain_black, A large green hill in the middle of a vast black and barren landscape, A large egyptian pyramid in the middle of a vast black and barren landscape
muffins, A plate of white muffins decorated with a few raspberries, A plate of white muffins decorated with a few strawberries
parrot, A colorful parrot perched on a tree branch, A glass sculpture of a colorful parrot perched on a tree branch
parrot2, A colorful parrot perched on top of a tall brightly colored flower, A glass sculpture of a colorful parrot perched on top of a tall brightly colored flower
parrots, Two colorful parrots sitting on a wooden stump or log, Two colorful origami parrots sitting on a wooden stump or log
penguings, Two penguins standing in a lake, Two origami penguins standing in a lake
piece_of_cake, A delicious chocolate cake with chocolate frosting sitting on a dining table, A delicious chocolate cake with chocolate frosting and a cherry on top sitting on a dining table
pizza_board, A large pizza with cheese and bits of meat, A large pizza with cheese and mushrooms
pizza_slice, A pizza with thick crust topped with graded cheese and basil, A pizza with thick crust topped with graded cheese basil and pepperoni
pizza_tomato_olive, A large pizza topped with cheese black olive sliced tomatoes, A large pizza topped with cheese black olive sliced tomatoes and a lot of pepperoni
pizza, A large cheesy pizza sitting on a wooden pizza board, A large cheesy pizza topped with pineapple and ham sitting on a wooden pizza board
